generating_institute     gfz-potsdam
     generating_date     2021/08/19
        product_type     topography
                body     earth
           modelname     etopo1-2250
          functional     topography_grd (grid)=>bi-linear interpolation
                unit     meter
          refsysname     WGS84
        radiusrefsys     6378137.000 m
          flatrefsys      3.352810664747480E-03   (1/298.25722356300)
       long_lat_unit     degree
      latlimit_north       14.170000000000    
      latlimit_south      -57.830000000000    
      longlimit_west       276.25000000000    
      longlimit_east       327.25000000000    
            gridstep       1.0000000000000    
  latitude_parallels            73
 longitude_parallels            52
number_of_gridpoints          3796
            gapvalue          99999.0000
       weighted_mean     -1.6588518E+03 meter
            maxvalue      5.2980000E+03 meter
            minvalue     -6.7580000E+03 meter
         signal_wrms      2.4289274E+03 meter
         grid_format     long_lat_value
 
          longitude    latitude    topography_grd
            [deg.]      [deg.]         [meter]
       315.250000      9.170000   -4380.20
       316.250000      9.170000   -4919.60
       317.250000      9.170000   -4462.80
       318.250000      9.170000   -3591.00
       319.250000      9.170000   -2671.40
       320.250000      9.170000   -3107.20
       321.250000      9.170000   -3791.40
       322.250000      9.170000   -4109.40
       323.250000      9.170000   -4564.00
       324.250000      9.170000   -4641.00
       325.250000      9.170000   -4646.80
       326.250000      9.170000   -4721.60
       327.250000      9.170000   -4982.20
       276.250000      8.170000   -1847.60
       277.250000      8.170000    -253.00
       278.250000      8.170000       3.60
       279.250000      8.170000      31.00
       280.250000      8.170000     -77.60
       281.250000      8.170000     -28.60
       282.250000      8.170000      14.20
       283.250000      8.170000      -1.00
       284.250000      8.170000     103.60
       285.250000      8.170000      29.00
       286.250000      8.170000      42.40
       287.250000      8.170000     462.20
       288.250000      8.170000    1971.40
       289.250000      8.170000     180.60
       290.250000      8.170000     100.60
       291.250000      8.170000      68.80
       292.250000      8.170000      55.00
       293.250000      8.170000      51.40
       294.250000      8.170000      68.20
       295.250000      8.170000     117.80
       296.250000      8.170000      34.00
       297.250000      8.170000      94.20
       298.250000      8.170000     295.40
       299.250000      8.170000      20.00
       300.250000      8.170000      13.20
       301.250000      8.170000     -32.40
       302.250000      8.170000    -370.00
       303.250000      8.170000   -1768.80
       304.250000      8.170000   -2369.20
       305.250000      8.170000   -1457.00
       306.250000      8.170000   -1191.20
       307.250000      8.170000   -2115.20
       308.250000      8.170000   -4574.20
       309.250000      8.170000   -4478.60
       310.250000      8.170000   -4429.80
       311.250000      8.170000   -4437.00
       312.250000      8.170000   -4435.20
       313.250000      8.170000   -4486.40
       314.250000      8.170000   -4554.40
       315.250000      8.170000   -4567.80
       316.250000      8.170000   -4798.20
       317.250000      8.170000   -4830.40
       318.250000      8.170000   -4314.00
       319.250000      8.170000   -4064.20
       320.250000      8.170000   -4078.60
       321.250000      8.170000   -4556.60
       322.250000      8.170000   -3769.80
       323.250000      8.170000   -4071.80
       324.250000      8.170000   -4809.00
       325.250000      8.170000   -4711.20
       326.250000      8.170000   -4541.40
       327.250000      8.170000   -4322.00
       276.250000      7.170000   -1479.80
       277.250000      7.170000   -3628.40
       278.250000      7.170000    -522.00
       279.250000      7.170000    -474.60
       280.250000      7.170000   -2475.60
       281.250000      7.170000   -3572.80
       282.250000      7.170000      61.80
       283.250000      7.170000      33.60
       284.250000      7.170000    1552.60
       285.250000      7.170000     476.60
       286.250000      7.170000      96.20
       287.250000      7.170000    2546.40
       288.250000      7.170000     195.80
       289.250000      7.170000     128.00
       290.250000      7.170000      97.00
       291.250000      7.170000      72.00
       292.250000      7.170000      51.20
       293.250000      7.170000      52.60
       294.250000      7.170000     142.60
       295.250000      7.170000     565.80
       296.250000      7.170000     278.80
       297.250000      7.170000     318.00
       298.250000      7.170000     183.80
       299.250000      7.170000     186.40
       300.250000      7.170000     110.00
       301.250000      7.170000      49.20
       302.250000      7.170000     -26.00
       303.250000      7.170000     -43.20
       304.250000      7.170000    -211.60
       305.250000      7.170000     -94.80
       306.250000      7.170000    -117.60
       307.250000      7.170000    -611.60
       308.250000      7.170000   -3834.20
       309.250000      7.170000   -4149.80
       310.250000      7.170000   -4109.00
       311.250000      7.170000   -4167.00
       312.250000      7.170000   -4194.00
       313.250000      7.170000   -4254.00
       314.250000      7.170000   -4340.20
       315.250000      7.170000   -4560.20
       316.250000      7.170000   -4871.80
       317.250000      7.170000   -4534.80
       318.250000      7.170000   -4614.20
       319.250000      7.170000   -4587.40
       320.250000      7.170000   -4485.80
       321.250000      7.170000   -4544.40
       322.250000      7.170000   -3853.40
       323.250000      7.170000   -3879.60
       324.250000      7.170000   -4574.60
       325.250000      7.170000   -4607.80
       326.250000      7.170000   -4196.00
       327.250000      7.170000   -2916.20
       276.250000      6.170000   -2359.40
       277.250000      6.170000   -2534.00
       278.250000      6.170000   -1341.60
       279.250000      6.170000   -2967.40
       280.250000      6.170000   -2967.00
       281.250000      6.170000   -3157.20
       282.250000      6.170000   -3675.60
       283.250000      6.170000      30.60
       284.250000      6.170000    1615.60
       285.250000      6.170000     541.20
       286.250000      6.170000     971.60
       287.250000      6.170000    3557.40
       288.250000      6.170000     242.60
       289.250000      6.170000     120.00
       290.250000      6.170000      98.00
       291.250000      6.170000      72.00
       292.250000      6.170000      61.40
       293.250000      6.170000     506.00
       294.250000      6.170000     563.40
       295.250000      6.170000     117.40
       296.250000      6.170000     304.60
       297.250000      6.170000     612.80
       298.250000      6.170000     176.20
       299.250000      6.170000     750.00
       300.250000      6.170000     112.20
       301.250000      6.170000      82.40
       302.250000      6.170000       7.40
       303.250000      6.170000     -14.20
       304.250000      6.170000     -24.00
       305.250000      6.170000     -17.20
       306.250000      6.170000     -30.00
       307.250000      6.170000     -53.00
